80.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	1.000
70.000	0.960	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60.000	1.080	0.000	0.000	0.000	0.000	0.000	0.000	0.000
50.000	1.280	0.000	0.000	0.000	0.000	0.000	0.000	0.000
40.000	1.440	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30.000	1.740	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.000	1.880	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	2.190	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	2.470	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-10.000	2.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-20.000	3.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-30.000	3.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-40.000	3.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-50.000	3.720	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-60.000	3.850	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-70.000	4.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-80.000	4.110	0.000	0.000	0.000	0.000	0.000	0.000	0.000
